Feature,Importance1918_1927,Importance1928_1938,importance_change
hon,0.3542471975289281,0.2008423129828913,0.1534048845460368
ask,0.0925875455387605,0.1964744699996717,0.10388692446091119
asked,0.1340658929639017,0.0310356268351656,0.1030302661287361
think,0.0955922272318704,0.033942827715291,0.0616493995165794
member,0.1461701208375014,0.0926199998044655,0.053550121033035886
right,0.1579451528371784,0.1067677067865014,0.05117744605067699
government,0.2247818959167586,0.272105954764844,0.04732405884808541
question,0.0857218403844995,0.0395479914883217,0.046173848896177795
health,0.0583160759497475,0.1043433627999608,0.0460272868502133
support,0.0391423708422733,0.0849647061374225,0.0458223352951492
department,0.0789442978442755,0.1215109372706252,0.04256663942634971
say,0.0889600698325297,0.0478229515021319,0.0411371183303978
great,0.0711731792783112,0.0305809365937065,0.04059224268460469
noble,0.0973034136669598,0.1372359767717048,0.039932563104744995
house,0.140957880557819,0.1011343763613449,0.0398235041964741
gentleman,0.084566411106952,0.0474527612170502,0.0371136498899018
people,0.1161061704172599,0.1516975407345708,0.03559137031731091
lord,0.1033475430651299,0.1386624165115034,0.035314873446373504
matter,0.0806742812140558,0.0466298925942327,0.034044388619823104
country,0.0773360786885989,0.0443403461571512,0.032995732531447705
mr,0.0831247028506168,0.0506516881370498,0.03247301471356699
friend,0.1441405509245504,0.1117451565978717,0.03239539432667869
lords,0.04204824386984,0.0720342009079651,0.0299859570381251
police,0.0294057250169509,0.0590916242561681,0.029685899239217203
british,0.0622898810190439,0.0340575062275174,0.028232374791526495
service,0.0685033491739867,0.0948109629591067,0.02630761378511999
new,0.0795090376077759,0.105461981270099,0.02595294366232309
information,0.0659739138739021,0.0916884883805914,0.025714574506689306
need,0.0372630100622946,0.061495849205476,0.024232839143181403
office,0.0429626398875017,0.066455191883337,0.023492551995835297
time,0.1174321028634637,0.0941208799820251,0.023311222881438595
national,0.0588377324735582,0.0818241244253978,0.022986391951839595
state,0.1960345626476528,0.218094387409933,0.022059824762280217
report,0.0703208297795848,0.0923504047055473,0.022029574925962497
european,0.0279204344872616,0.049700057675943,0.021779623188681402
like,0.0514778176470263,0.0297741632006752,0.0217036544463511
said,0.0898713053036506,0.0684167980135254,0.0214545072901252
trade,0.0556796811009351,0.0344276965125991,0.021251984588336
general,0.0586665639266828,0.0379726708730011,0.020693893053681696
secretary,0.1966387260706377,0.2170139951105369,0.020375269039899196
children,0.0289020337050572,0.0490683199068361,0.020166286201778898
industry,0.0651496766049347,0.046281833250107,0.018867843354827704
set,0.0283985087377182,0.0471107375840943,0.018712228846376102
work,0.0680181221076743,0.0865923362495481,0.018574214141873796
answer,0.0391586726086424,0.0571702562004451,0.018011583591802702
local,0.0913980156274817,0.1082283488895955,0.016830333262113792
case,0.0650731581097328,0.0490884389440688,0.015984719165663998
provide,0.0257536303166118,0.0413727881653277,0.015619157848715898
shall,0.0623319661914049,0.0470986661617546,0.015233300029650301
important,0.0363580956842557,0.0514785805673138,0.015120484883058102
defence,0.031825705599986,0.0468532139075157,0.015027508307529698
committee,0.0808527689213418,0.0658697278998653,0.014983041021476504
services,0.0552747984545846,0.0700283328958648,0.014753534441280199
000,0.044629578671018,0.0300658892405494,0.0145636894304686
england,0.0258783887327017,0.0403064791919945,0.014428090459292803
members,0.0809059991788735,0.0664994537652489,0.0144065454136246
amendment,0.0514304094489122,0.0651736092116139,0.013743199762701698
place,0.0446701667423859,0.0581399937950613,0.013469827052675402
home,0.0470617024065524,0.0603430283720422,0.013281325965489803
order,0.0580174874739056,0.0452376552177297,0.012779832256175905
possible,0.0482785128248162,0.0355060769082719,0.012772435916544297
know,0.0566697638910248,0.0440727629619563,0.0125970009290685
million,0.0439643667964265,0.0561824114723195,0.012218044675892999
united,0.0626666514356355,0.0506557119444963,0.012010939491139204
point,0.0655673677820038,0.0540980792150116,0.011469288566992197
northern,0.0274079269139642,0.0387050038282715,0.011297076914307303
hope,0.0551555294088027,0.0440848343842959,0.011070695024506805
development,0.0384340757279921,0.0491447722483204,0.0107106965203283
given,0.063030280632399,0.052418139606081,0.010612141026318002
education,0.047322364323903,0.0577537082801935,0.0104313439562905
course,0.0403207556683814,0.0299652940543859,0.0103554616139955
year,0.0974755802811639,0.1078138967226018,0.0103383164414379
public,0.0697515987131052,0.0800254824967943,0.010273883783689097
legislation,0.0261568495174144,0.0362122551151397,0.010055405597725303
taken,0.0530592553293823,0.0430647991965979,0.0099944561327844
transport,0.0313982000941845,0.0412500620382083,0.0098518619440238
clear,0.027260046604759,0.0363611359906617,0.009101089385902702
staff,0.0260126287884144,0.0350976604524481,0.009085031664033703
subject,0.0378911271011687,0.0289331874443483,0.008957939656820402
cent,0.0608145711626418,0.0697084402038648,0.008893869041222996
use,0.040695197261206,0.049402295924899,0.008707098663693007
available,0.0666321392771926,0.0748367827944805,0.008204643517287905
food,0.0262478399888827,0.0344035536679199,0.008155713679037203
kingdom,0.0399646119765834,0.0318806263989391,0.008083985577644302
statement,0.0595227393501693,0.0667328345971482,0.007210095246978895
figures,0.045256198608899,0.0385963610272149,0.0066598375816840985
increase,0.0360184201033815,0.0293657467448514,0.006652673358530099
areas,0.0306118893837084,0.0369003261884981,0.006288436804789702
area,0.0387659331147913,0.0326954474068635,0.0060704857079278
make,0.114405463689122,0.120452675912185,0.006047212223063009
act,0.0658478247013739,0.0601800641704573,0.005667760530916603
following,0.0239983625745039,0.0295528537911155,0.005554491216611598
majesty,0.025711378799696,0.0312649838596184,0.0055536050599224
commission,0.0380689494302356,0.0435878941646482,0.005518944734412598
money,0.0347869713642965,0.0294623181235683,0.005324653240728203
ireland,0.0343694465317822,0.0394634915319443,0.005094045000162098
years,0.092829576865975,0.0877491808904284,0.005080395975546603
tax,0.0347838108177556,0.0396807771340575,0.004896966316301904
authorities,0.0604033674232094,0.0556854712526717,0.004717896170537694
total,0.0373644802407145,0.0326632569472912,0.004701223293423304
debate,0.0387261767661973,0.0432760490875413,0.0045498723213439965
consider,0.0331629494759152,0.0287400446869143,0.004422904789000901
provision,0.0251423140777711,0.0294643300272916,0.004322015949520499
cost,0.0483147759377597,0.0442477985858808,0.0040669773518789
london,0.037667227330426,0.0336591492903099,0.004008078040116096
official,0.024780015637446,0.0287581518204238,0.0039781361829778
benefit,0.0293218873613385,0.0331863519153414,0.003864464554002904
cases,0.0360678244361531,0.0322508166840208,0.003817007752132298
used,0.0284377660526479,0.0322166143207252,0.0037788482680773013
long,0.0354220748744717,0.0317116264861844,0.0037104483882873032
social,0.0395790252985881,0.0360211242614291,0.0035579010371590003
deal,0.0379481832834605,0.0344095893790897,0.0035385939043708
period,0.0304678349992632,0.0270379741370278,0.0034298608622353975
want,0.0382308026820429,0.0416524427828623,0.003421640100819398
council,0.0598627476201531,0.0565083398754892,0.0033544077446639037
able,0.0347144451384096,0.0316894955452284,0.0030249495931811976
wales,0.0363845444684668,0.0333976018062848,0.002986942662181996
financial,0.0296871800036498,0.0326391141026119,0.002951934098962102
understand,0.0292390477730548,0.0263901411381348,0.0028489066349200003
prime,0.0299515015012057,0.0327256259627125,0.002774124461506801
end,0.0274694743992352,0.0301141749299079,0.0026447005306727
action,0.0314026913971637,0.0339528872339073,0.002550195836743596
decision,0.0250230450319891,0.0274987000896566,0.0024756550576674995
months,0.0283888607535406,0.0259455104152921,0.002443350338248499
north,0.0259164816357478,0.0283517472683232,0.0024352656325754007
good,0.0408181258871933,0.0384092539809508,0.0024088719062425046
minister,0.1277496238741008,0.1253717805155806,0.002377843358520204
particular,0.0298784762416544,0.0275067477045497,0.0023717285371046976
community,0.0349960664696633,0.0369526356853032,0.0019565692156399
countries,0.0270025452339493,0.0289553183853042,0.0019527731513548988
future,0.0324674628923526,0.034419648897706,0.0019521860053533999
authority,0.0490150865134111,0.0509615213104334,0.0019464347970222992
parliament,0.0277554206889134,0.0296574727847255,0.0019020520958120991
received,0.034590185755984,0.0364778264066114,0.001887640650627402
law,0.0327021750591564,0.0308485197889015,0.001853655270254901
housing,0.0277164960630933,0.0259656294525248,0.0017508666105685022
school,0.02673705932451,0.028432223417254,0.0016951640927440025
foreign,0.0314446102249699,0.0299673059581091,0.001477304266860803
scheme,0.0384545361082309,0.0371055403682717,0.0013489957399592037
clause,0.036881581998169,0.03790426614641,0.0010226841482409987
policy,0.0464305911656922,0.0473783207792892,0.000947729613596994
agree,0.0325053894508439,0.0315828646478951,0.0009225248029487987
believe,0.0436992135760967,0.0443202271199185,0.0006210135438218037
chancellor,0.0332499476780686,0.0326592331398446,0.0005907145382240062
number,0.0814437911244985,0.0818643624998632,0.0004205713753647061
proposals,0.0293811060228425,0.0295830323469645,0.00020192632412200165
way,0.0654301335243048,0.0653063948573497,0.0001237386669551005
